doc_text,image2text,speech2text
Отправь своему пузатику 🤣   #прикол #шутка # стендап  #женский стендап тнт #женский стендап  # стендап тнт #женщины комик и #юмор #семья,мой муж супер зажиточный прошк just «мати аристократ ^,"мой муж супер зажидочный аристократ, у него на шоу растет пузо. А он у меня такой высокий, худой, но с животом. Честное слово, выглядит как будто у червяка вздутие. И меня, честно говоря, бесит, что мне говорят, что я должна его мотивировать. Потому что я считаю, что мотивация через силу не работает. Мотивация в нужный момент сама находит человека. Я вам клянусь, так и произошло. У меня муж узнал, что я в женском  стендап е рассказываю про его живот. И записал мне видео с беговой дорожки со словами «Хрен себе», а не шутки про пузо. Я думаю, Владик, если тебя такое мотивирует, то я теперь хочу со  стендап  сказать, что у меня муж латоничненько очень мало зарабатывает."
Дачный вайб 😂🐶🐓👶  P.s Ни одно животное при съемках не пострадало»😇,,До новых встреч!
Голосовое сообщение,,"Вот все пишут мне, что сейчас я урод, а в 2016-м очень красивый молодой был. Что-то вы мне в 2016-м не давали, блядь."
У меня дома лежат два коврика для йоги. Занимаюсь ли я? Нет…  . . #лиляаверина # стендап вюбке #приколдня #приколыпромужа #зож #юморпромужчин # стендап  #лиляаверина стендап  #мужена #рилс #аверина стендап  #мужмужмуж #йога #спорт #смехдослёз,йога с м ' ужем,"Я не могу заниматься йогой рядом с мужем. Как стоять в позе собаки рядом с человеком, у которого некуда девать пальцы?"
"Когда забыли, зачем собирались 🤷🏼‍♂️ #дедищев # стендап  #тнт #поминки #праздник #reels",g r 9 crew,"Помните вот этот момент, народ, когда поминки перерастают в веселье, да? Помните вот это, не чокаясь, ну, зная Витьку, он бы чокнул согласен. Пошла жара. Помните? Ну в этом плане, народ, мы в этом плане похожи на мексиканцев, короче. В Мексике день похорон — это праздник, это веселье, понимаете? У нас это немножко странно было, типа, да, типа, братан, приезжай, мы тут Витьку хороним, тут так весело. Да приезжай, да заколебал, тут только тебя не хватает. Ну и Витьке, конечно."
Новый выпуск вышел!,,"Мама-джан, такой вопрос. Правда ли, что армянские девушки, они больше расположены к созданию семьи, к свадебе? Конечно. Однозначно. Я бы хотел услышать маму. Да, да, да, маму, пожалуйста. Да."
🐻,30,"где-то на севере мы едем в города, которые Когалым. Это звучит как вот уже Сибири прям вот. Нет, это прям север, там это города нефтяные. И вот между городами мы едем, я говорю водителю, давайте остановимся, выйдем покурить. И он говорит, нельзя, там медведи. Он говорит, ну нельзя здесь выходить, здесь медведи реально. И в этот же день мы новости в пабликах видим, где медведя напал на типов, которые вышли покурить на работе. И они его огнетушителем там забили, и он убежал. Как вам повезло с водителем, да? А там еще, знаешь, Тойота Альфарта, у которой двери вот так очень медленно закрываются. Я просто представлял, как я забегаю внутрь и не могу захлопнуть, и вот так. И медведь медленно заходит вот так в салон. Прям не торопясь вот так заглядывает."
" комик , который прожил и осознал эту жизнь – Стас Старовойтов  Ищи ответы на все вопросы сегодня в НОВОМ СЕЗОНЕ « стендап » в 23:00 на ТНТ","п меня зовут стас, я женат","Меня зовут Стас, я женат. И вы знаете, я не согласен с теми людми, которые считают, что жизнь в браке очень скучна. Это чуш. Это великолепный, удивительный, потрясающий квест. Как в фильме «Пила». Ты просыпаешься и не можешь пошевелиться, потому что трещит голова, на пальцах кольцо, а рядом женщина в белом, севшим голосом, тебе говорит «Ну что? Теперь у моего мужа и жена игра началась». Привет! Привет! Вы такие смотрите, наверное, так. Наш Стас отпустил длинные волосы, видимо, что-то случилось. И он нам сейчас расскажет. Да, совершенно верно. Дело в том, что я год назад закончил свои тяжелейшие, абьюзивные, современные, невозможные высокодуховные отношения. 7 лет. Вышел из них? Вышел. Это были ужасные отношения. Это когда люди настолько ненавидят друг друга, что на этом держится их семья. Не расстаться вообще. Когда из общих интересов каждый вечер орать друг другу, кто кому больше насрал, пока второй не упадет. Перед вами серебряный призер этих соревнований. Собственно говоря. Я объясню. Я объясню. Я без объяснений это так и оставлю. Достаточно лысый вечер вообще получается, да? Странная история."
Всемирный знак о помощи работает ✊🏻  Отправляй своему близкому 😅,,вот закрой я сказал сейчас со мной тихо машину ведешь молча поняла если вы оказались в подобной ситуации вы всегда можете воспользоваться специальным всемирным сюжетом о помощи
Сколько вас с таким лицом? @artemvinokur e you,rig,"Раньше круто, раньше не было психотерапевтов, к ним не надо было идти, они сами тебя на улицу находили. Просто стоишь, куда мужик подошел, вот это погодка, блядя. Ты ему говоришь, а меня отчим изнасиловал, все давай. Не, я вот на месте психотерапевтов по паркам Москвы прошел, все там сидят, все вот с этим взглядом люди."
