doc_text,image2text,speech2text
Как вам выбор Владимира Стогниенко? @vstognienko,"вподимир стогниенко, комментотор","Владимир, лучший гол, который вы видели? Мауро Брессан из Фиорентины в ворота Барселоны То ли 99-й год, то ли 2000-й в Лиге Чемпионов Там удар через все середины поля, куда уж круче-то, причем с такой силой, что вратаря стерел И мексиканец Негрета в ворота сборной Болгарии в 1-й- 8-й финал ЧМ 86-го года Там очень редкая пластика, потому что бывают ножницы, это нормально Но когда человек прыгает ножницами за секунды до удара И находится в параллельной земле ногами к чужим воротам, висит и уехитряется положить корпус И учитывая, что это поф Чемпионата Мира, это нереально круто"
Педро - Вендел - Глушенков 🤯🤯🤯,,
Пиняев🤯,во burcu rs,"Какой пеняев хороший, а! И Воробьев! Второй матч, второй гол! Супер, а! Уф!"
"Губерниев о церемонии открытия Олимпиады: «От тех, кто накидывает говно на вентилятор, я смеюсь. Французы здорово подготовились, молодцы»  Подробнее: https://smms.ac/eSqu",,
"⚽️⚽️ Похоже, просто быть сербом с фамилией на -ич мало, чтоб работать тренером. Нужно еще что-то 🤨   @akulininmatch",,
"Ну что же, начинаем.  Большие проблемы Динамо с составом - это и давление на Локомотив. Который против Акрона начинал вторым номером, а сейчас должен будет то ли перестраиваться, то ли отдавать мяч даже такому составу Динамо.   Посмотрим. Интересно.",,
"Локомотив без мяча 4-4-2, где Воробьев верхушка ромба под Пиняевым и Сарвели.   Даже без Лаксальта разыгрываем через низ через Кутицкого (!) - наблюдаем. Хорошая атака Муми-Лука.",,
"Ой хорошо! На секунду переключил с «Рубин» - «Зенит», а тут такой гол «Динамо»😎",10.,Смотри как хорошо!
Какие мысли - что это с Миланом? Будто бы тепловой удар.,,
"Если у Динамо изменения вынужденные, то у Локомотива сознательные.  Ушли ли от тройки ЦЗ? Непонятно.  П Нежурналист Иванов У «Локо» три замены по сравнению с первым матчем.   Карпукас перестал пользоваться безграничным доверием тренера ещё в конце прошлого сезона. Похоже, что Морозов присел за ряд ошибок в игре с «Акроном». Тикнизяна нет даже в запасе. Травма?  И если Фассон и Самошников - кандидатуры понятные, то Сарвели в старте - это что-то новенькое.   Мне интересно: как будет выглядеть опорная зона вокруг Баринова?   UPD: Тикнизян в запасе!  @НежурналистИванов 🔗 https://t.me/ivanovaldm/3948","bet boom 5 22 лантратов 45 сильянов 3 фассон 5 жерзино 24 ненахов 77 самошников 6 баринов (к) 83 батраков ё 8 сарвели 9 пиняев 10 воробьёв митрюшкин, веселов, митай, морозов, погостнов, тикнизян, 8 карпукас, тимофеев, раков, салтыков, сулейманов",
Пока Виктор Михайлович возит Константина Михайловича…😉  2 из 2 👏👏👏,| winline обе забьютитб 2.5 1.95 цска ф t- 1 .5} з 15 о- 1 гол в матче 270 2* победа зенита и 03 360 динамо не проиграет и 03 2.07 победа оренбурга 218 ничья з 75 с краснодар ф t-1.51 216 гол крыльев в 1-м тайме 1.95 : победа цска 1. 85 первый гол - факел 1.85 2* 2 тайм » 1 тайм 210 динамо не проиграет и 03 2 07 прогнозы 166 обе забьют тур победа спартака 188 рпл а краснодар ф t~1.51 216,
"А если это не серб, а… 😝  Эх, была бы лицензия;)  https://t.me/akulininmatch/2589  П Футбольный Матч | Сергей Акулинин ⚽️⚽️ Похоже, просто быть сербом с фамилией на -ич мало, чтоб работать тренером. Нужно еще что-то 🤨   @akulininmatch 🔗 https://t.me/akulininmatch/2589",,
"О как. Потери серьезные. Очень.  П ФК «Динамо» Москва Наш состав на дерби с «Локомотивом» 👊  🔹 Тюкавин выйдет на поле с капитанской повязкой 🔹 Кутицкий, Гагнидзе и Бителло сыграют в центре полузащиты  🔹 Даса и Бессмертный — на флангах обороны  Лаксальт и Фернандес пропускают встречу по решению медицинского штаба, Фомин отбывает дисквалификацию, Чавес продолжает набирать форму после Кубка Америки.  @fcdynamo 🔗 https://t.me/fcdynamo/24671",", тенеральный спонсор фк «динамо-москва» . втб bet boom [стартовый состав тюкавин нгамалё бителло гладышев гагнидзе кутицкий даса лепский бессмертный (майсторович лунёв запасные 31 лещук / 47 кудравец / 76 купцов / 7 скопинцев 11 лесовой / 20 грулёв / 41 назаренко 56 зайдензаль 77 макаров в 8 окишор",
"Хотя, конечно, вот этот",atpi wта 02ч,легенда французского тенниса в том числе 14 побед на кортах ролан горос на кортах открытого чемпионата франции именно на тех кортах на которых будет проходить олимпийский турнир в который
"Все еще под впечатлением от трансферного попадания ЦСКА в случае с Мусаевым. Да, бегущий, атлетичный, умеет открываться, очень сфокусированный на игре (даже слишком серьезный). Но за 18 матчей в РПЛ с Балтикой забил лишь 2. Не сказать, чтобы выделялся.  Бам - и зимой с армейцами. Сегодня он проводит 14-ю игру за ЦСКА в чемпе. 6-й мяч воткнул. Примерно 120 мин на гол тратит. Блеск.  @shhhnyakin","премы вприглушаем детей от 7 лет и старше ) ~ е ем о отлучше спортс* sports\"" уделоем с 27 е эигу аша« м детей от 7 лет, 11« japше д w делаем спортлучше спортс sperts\"" е « е « %","Бистрович подает штрафную и отсюда можно бить! Пробили, еще удар, гол! Гол забивает ССК! 1-ноль! Это Самерлан Мусаев! Подкараулил момент, пробил точно в угол. Мне кажется, никаких шансов у Никиты Медведева там не было. Здесь здорово Бистрович в начале атаки между линиями дважды открылся. Ну и потом вот передача в центр, а там уже Мусаев все это завершил. Первый гол в ССК в сезоне. Они не заставили долго ждать на 15-й минуте."
"Match_TV https://t.me/Match_TV/94409    С такой поддержкой Женя точно поборется за медаль. Верим! 🤝  Кстати, Сомов еще заявился и на 50 метров вольным стилем. Подробнее читай у нас на сайте: https://clck.ru/3C9hVG  А за соревнованиями в парижском бассейне следи в паблике @water_match",мати florida 103 мама болеет за меня здесь. она прилетела из санкт-петербурга. она любит путешествовать евгений сомов,
"sportsru_statistics https://t.me/sportsru_statistics/27031    Губерниев о церемонии открытия Олимппиады: «От тех, кто накидывает говно на вентилятор, я смеюсь. Французы здорово подготовились, молодцы»  Подробнее: https://smms.ac/eSqu",,
"в ожидании воронежского матча, поглядываю за Пари НН - ЦСКА на телефоне. и хочу напомнить, что кумир Мусаева - напад Виллы и сборной Англии Уоткинс.   не могу об этом не думать, смотря на такие ловкость и удар.",vi прембер прямоизбир о пари цска у g sports акалемия ок «пари нн sports sports с «пари мы» sports спорте спортс спортс sports звук 51,саши я могу только догадаться потому что видел видео после прошлого матча как он бутылки бросал в общем было нервно ну и вот еще раз мы смотрим на повторе здесь такие элементы акробатики все начинается с мой засо потом открывать быстро очень здорово открывался здесь под передачу кругового а дальше паз дальше по справочной кобальта мяч вот так вот заметавшийся апликул оказался у тамерлана хусаева вот чистый нападающий на инстинкте мне мяч попал я тут же пробью и один ноль доворотов бу не видел
"Конкурс прогнозов на первое дерби сезона в РПЛ 🇷🇺🇷🇺  Пишите в комментариях к данному посту автора и минуту первого гола в матче «Динамо» — «Локомотив». Например: Пиняев, 15. Кто первым точно назовет игрока и окажется по времени ближе остальных — получит 1000 рублей на карту. ⠀ Ответы принимаются до 17:30 (мск), изменённые комментарии не засчитываются, один человек — один прогноз. «Автогол» и 0:0 не пишем. Погнали👇",,
"sovsport https://t.me/sovsport/19521    🇫🇷 «Французы всё понимают». Колумнист «Совспорта» Дмитрий Губерниев – о повешенном вверх ногами флаге на ОИ.  💬 «Французы обращают внимание в том числе и на злобу, события сегодняшнего дня. Это же символично, не так ли? Они же всё понимают, в том числе и ту турбулентность, которая есть в международном олимпийском движении. Церемония показала, что французы отдают себе отчёт в том, что сейчас в международном олимпийском движении явно не всё в порядке. Они это очень чётко показали. Надо быть идиотом, чтобы это не прочитать», – сказал Губерниев корреспонденту «Совспорта» Денису Бабину.   👍 подписывайтесь на @sovsport",?ос w эксклюзив французы всё понимают губерниев ~ о повешенном вверх ногами флаге на играх,
