doc_text,image2text,speech2text
"Выступил в газете Нью-Йорк Таймс, позицию обозначил, вновь лютый international level….💪","17:51 & & 26 nytimes.com/2024/07 { 22 il 77% ш о i iiiparis u.s. athletes to watch viewer's guide в roc russian athletes competed under the neutral russian olympic committee flag in токуо in 2021. ritchie в tongo/ера, via shutterstock «so now we mix sports and politics?\"" dmitri v gubernyev, а well-known russian sports announcer, said in an interview \""americans, who went to iraq and later acknowledged the mistake, he added, implying that the united states was never sanctioned in the sports world for waging wars \""and who invaded vietnam, acknowledged later - not by you and me, but by biden - as а mistake? ш о «",
https://m.sportsdaily.ru/news/guberniev-ne-vse-nashi-sportsmeny-proshli-proverku-na-soobrazitelnost-pered-oi  П Губерниев: не все наши спортсмены прошли проверку на сообразительность перед ОИ На Играх в Париже выступят 15 российских спортсменов. 🔗 https://m.sportsdaily.ru/news/guberniev-ne-vse-nashi-sportsmeny-proshli-proverku-na-soobrazitelnost-pered-oi,russi ^,
"По всем прямым и косвенным признакам одна популярная и временно заблокированная социальная сеть будет разблокирована до конца этого года. Мой прогноз - октябрь.  По всем прямым и косвенным признакам система Fan ID будет упразднена до начала второй части сезона в РПЛ. Более того, на трибуны вернут и пиво. Мой прогноз - декабрь.  ВАЖНОЕ: это не инсайд, это мои личные рассуждения по теме.  Верим - 🔥 Не верим - 🤮  #ПрогнозОракула",,
"Привет, мои хорошие! 🧡🧡🧡 Очень скучаю по вам, очень много работаем, но все это, конечно, для вас. А я не перестаю следить за новостями и рада поздравить жителей двух столиц, что наконец-то трасса м-11 открыта полностью, к тому же на год раньше срока!   В том числе и самый долгожданный последний участок трассы между Москвой и Санкт-Петербургом💖 Сейчас уже и представить невозможно, что когда-то мы жили без этого. Очень жду поездку на авто из Москвы домой 🫶🏼 В путешествиях на машине есть какая-то своя романтика и особая 🪄   А кто из вас путешествует этим летом на машинах и куда? Рассказывайте 👇🏻",. : w 3,
"gpbrusov https://t.me/gpbrusov/4450    По поручению Министра спорта России Михаила Дегтярева посетил с рабочей поездкой Южно-Сахалинск.  С 8 по 14 января 2025 года административный центр Сахалинской области примет IV Российско-Китайские молодежные зимние игры. Ведущие юниоры двух стран будут соревноваться в девяти видах спорта: керлинге, шорт-треке, фигурном катании, горнолыжном спорте, сноуборде, фристайле, лыжных гонках, лыжном двоеборье, прыжках на лыжах с трамплина. Подготовку к соревнованиям обсудил на встрече с Министром спорта Сахалинской области Артемом Подшиваловым.  Вместе с заместителем Министра спорта региона Светланой Ходюш посетил объекты РКИ-2025: трамплинный комплекс «Высота», лыже-биатлонный комплекс «Триумф», дворец спорта «Кристалл», учебно-тренировочный центр «Восток» и конечно горнолыжный курорт «Горный воздух», который является визитной карточкой Сахалина.  Важно отметить, что в последнее время сборные команды России по горнолыжному спорту, лыжным гонкам, лыжному двоеборью, прыжках на лыжах с трамплина, сноуборду и фристайлу – частые и желанные гости Южно-Сахалинска. Здесь проходила подготовку к Пекину-2022 и паралимпийская сборная России. Кроме того, у Южно-Сахалинска огромный туристический потенциал. Сюда ежегодно приезжают сотни тысяч туристов. Такая востребованность позволяет острову расширить свой горизонт возможностей.  Южно-Сахалинск готов принимать на сборы и представителей летних видов спорта. К Токио-2020 на Сахалине готовилась сборная России по теннису, добившаяся на Играх триумфального результата, чему во многом способствовало выверенное научно-методическое сопровождение, учет всех факторов, в том числе временного пояса и климата и прекрасные условия подготовки.  Отмечу, что все комплексы расположены в самом Южно-Сахалинске, находятся в шаговой доступности друг от друга и идеально вписаны в ландшафт городской среды. На базах работают высококвалифицированные команды сотрудников, за плечами многих – опыт Сочи-2014 и Красноярска-2019. Таким образом, у Южно-Сахалинска есть все составляющие, чтобы пополнить список признанных столиц по зимним видам спорта. Прекрасной возможностью убедительно заявить о себе станут Российско-Китайские игры.  Спортивный образ жизни, туризм и культура играют очень заметную роль в общественной жизни Сахалина, чье население одно из самых молодых в стране. Это лишний раз подтвердил X фестиваль «Крылья Сахалина», побивший рекорды посещаемости. Фестиваль собрал более 30 тысяч жителей и гостей острова. Посетители фестиваля участвовали в спортивных активностях, пробуя свои силы в горнолыжном спорте, керлинге, санном спорте, футболе, стрельбе из лука, каратэ, регби, воркауте и боксе.",,
"Я просто «вахере» от этой новости. Ампутировать часть пальца, вместо того, чтобы играть с фиксатором.","первый спорт * 40 925 подписчиков 268 grays ! австралийский хоккеист ампутировал себе палец, чтобы сыграть на олимпиаде: перелом безымянного пальца не позволял мэтту доусону выступить на олимпийском турнире, поэтому игрок сборной австралии по хоккею на траве решил ампутировать повреждённую фалангу, хотя мог просто наложить гипс и полностью сохранить палец ~ формально перелома теперь нет и доусона допустят до олимпиады о 9,7к 12:35",
"Будущее уже наступила — в России появится новый сервис для знакомств, знаете в чем его уникальное отличие?! Там будут сразу показаны наличие неоплаченных кредитов, налогов и алиментов.  Вешать лапшу на уши больше не получится 🦻🏼🍝   Пользовались бы таким приложением?",,"Вы на меня смотрели? Вот мой номер. Угу. Детконтакт утверждает, что ты некий Соколов Евгений Викторович. Детконтакт, прав? Прав. По глаз Богу, утверждают, что ты рожден 25 января 1988 года. Прав? Было ведь двое детей, верно? Верно. Судя по информации в статьях приставов, у тебя две квартиры в Москве и одна в Рязани. И автомобиль в целом неплохо. Да, неплохо, но в данный момент идет разбирательство с бывшей женой, которая наша симпатяга, по-видимому, проиграет. Потому что уже наложенный исполнительный риск на дачу, а автомобиль уже старый. А здесь говорит, что до карантина ты был в порядке, но вот сейчас две твои хуошки в большом минусе. О, больничная карта. Так, последнее посещение урода. Угу. Вы знаете, я передумал знакомиться и женить на хороший вечер."
"Воздух словно теплое молоко. Ночная прохлада только начинает осторожно стелиться по земле. Алое солнце множится в бесконечность отражениями в окнах. Прохожие выходят из закатного сияния и растворяются в нём. Вторая половина июля 2024 года.   Событий стало так много, что люди теряют вкус к актуальному. Людям хочется купаться в реке, слушать музыку и пить вино. Попытки убедить кого либо в чём либо не имеют смысла. Преодолен смысловой порог. Либо всё правильно, либо всё неправильно. Но где что - не знает никто. Глубинной России надоело и она  включила автопилот.  Остаётся только плыть по течению в надежде, что твои прежние усилия имели успех и течение вынесет всех нас на прекрасный берег.   А пока, как я понимаю, стоит ждать свирепого, финального контрнаступления врага на Юго - Востоке. Если у «небратьев» что нибудь выгорит, то это будет прекрасный бонус на предстоящих переговорах, если не выгорит, появится повод склонить жителей страны 404 к приятию самих переговоров. Беспроигрышная история. Правда со стороны нападающих будут огромные потери.   А тут ещё Трамп с ухом. Фантастическое невезение!   Хотя отчего-то мне Трамп президентом не видится. Больно всё ладненько получается.  Хотя опять же - я слишком доверяюсь логике, а события последних трёх лет убедительно доказывают превосходство мистических мотиваций. Во всяком случае объяснить происходящее, случайно залетевшему инопланетянину, что именно происходит в данный момент на планете Земля, решительно невозможно. Он просто не поверит.",,
"napervom https://t.me/napervom/7197    Пропаганда — всё  Старейший клуб Москвы дорабатывает июль и закрывается. Проработав с 1997 года, он пропустил через себя не одно поколение тусовщиков и диджеев, а свои вечеринки там делала в том числе и Нина Кравиц. Мы и сами начинали с «Пропаганды» и «Редакции». Второго уже нет давно, а теперь не будет и первого 😥",пропаганда,
"tikandelaki https://t.me/tikandelaki/18535    Станет ли очередной сбой YouTube предвестником его конца в России — покажет время. Сейчас разводят панику те, кто в первую очередь на нем зарабатывает.   Дорогие видеоблогеры, не забываем, что Rutube ждет всех уже сейчас. Это платформа, которая совсем скоро станет еще удобнее. Зрители давно пришли сюда смотреть контент, за который не нужно платить, и их становится всё больше 😈  Кстати, очень прошу вас, ни в коем случае не смотрите на Rutube совершенно бесплатно и с русским переводом сериал «The Boys» — «Пацаны». Не смотрите, потому что оторваться от Бутчера и Хоумлендера просто так у вас не получится.",к voulube после ухода rutube,Да!
